LanePointX,LanePointY
-1.646000,-6.000000
-1.645752,-6.000000
-1.645660,-6.000000
-1.645541,-6.000000
-1.645398,-6.000000
-1.645225,-6.000000
-1.645022,-6.000000
-1.644782,-6.000000
-1.644506,-6.000000
-1.644188,-6.000000
-1.643829,-6.000000
-1.643422,-6.000000
-1.642968,-6.000000
-1.642460,-6.000000
-1.641902,-6.000000
-1.641281,-6.000000
-1.621365,-6.000000
-1.619346,-6.000000
-1.617223,-6.000000
-1.614994,-6.000000
-1.612669,-6.000000
-1.610213,-6.000000
-1.607637,-6.000000
-1.604939,-6.000000
-1.602116,-6.000000
-1.599170,-6.000000
-1.596090,-6.000000
-1.592873,-6.000000
-1.589531,-6.000000
-1.586052,-6.000000
-1.582426,-6.000000
-1.503845,-6.000000
-1.497750,-6.000000
-1.491538,-6.000000
-1.485212,-6.000000
-1.478790,-6.000000
-1.472271,-6.000000
-1.465666,-6.000000
-1.458972,-6.000000
-1.452204,-6.000000
-1.445361,-6.000000
-1.438451,-6.000000
-1.431481,-6.000000
-1.424454,-6.000000
-1.417324,-6.000000
-1.410254,-6.000000
-1.294614,-6.000000
-1.287461,-6.000000
-1.280305,-6.000000
-1.273186,-6.000000
-1.266071,-6.000000
-1.258974,-6.000000
-1.251885,-6.000000
-1.244816,-6.000000
-1.237756,-6.000000
-1.230712,-6.000000
-1.223686,-6.000000
-1.216670,-6.000000
-1.209663,-6.000000
-1.202678,-6.000000
-1.195713,-6.000000
-1.086070,-6.000000
-1.079332,-6.000000
-1.072610,-6.000000
-1.065917,-6.000000
-1.059224,-6.000000
-1.052553,-6.000000
-1.045895,-6.000000
-1.039244,-6.000000
-1.032611,-6.000000
-1.025994,-6.000000
-1.019388,-6.000000
-1.012797,-6.000000
-1.006221,-6.000000
-0.999658,-6.000000
-0.993101,-6.000000
-0.890263,-6.000000
-0.883955,-6.000000
-0.877662,-6.000000
-0.871376,-6.000000
-0.865114,-6.000000
-0.858861,-6.000000
-0.852606,-6.000000
-0.846395,-6.000000
-0.840189,-6.000000
-0.833993,-6.000000
-0.827809,-6.000000
-0.821598,-6.000000
-0.815499,-6.000000
-0.809356,-6.000000
-0.803231,-6.000000
-0.706895,-6.000000
-0.700899,-6.000000
-0.694886,-6.000000
-0.688866,-6.000000
-0.682826,-6.000000
-0.676748,-6.000000
-0.670678,-6.000000
-0.664573,-6.000000
-0.658425,-6.000000
-0.652258,-6.000000
-0.646050,-6.000000
-0.639804,-6.000000
-0.633518,-6.000000
-0.627193,-6.000000
-0.620818,-6.000000
-0.510323,-6.000000
-0.502744,-6.000000
-0.495067,-6.000000
-0.487292,-6.000000
-0.479410,-6.000000
-0.471427,-6.000000
-0.463335,-6.000000
-0.455124,-6.000000
-0.446830,-6.000000
-0.438407,-6.000000
-0.429851,-6.000000
-0.421184,-6.000000
-0.412402,-6.000000
-0.403473,-6.000000
-0.394439,-6.000000
-0.229809,-6.000000
-0.218138,-6.000000
-0.206280,-6.000000
-0.194237,-6.000000
-0.182056,-6.000000
-0.169612,-6.000000
-0.157002,-6.000000
-0.144217,-6.000000
-0.131232,-6.000000
-0.118042,-6.000000
-0.104648,-6.000000
-0.091058,-6.000000
-0.077240,-6.000000
-0.063237,-6.000000
-0.049008,-6.000000
0.205692,-6.000000
0.223034,-6.000000
0.240505,-6.000000
0.258109,-6.000000
0.275826,-6.000000
0.293668,-6.000000
0.311620,-6.000000
0.329680,-6.000000
0.347853,-6.000000
0.366102,-6.000000
0.384440,-6.000000
0.402883,-6.000000
0.421377,-6.000000
0.439938,-6.000000
0.458593,-6.000000
0.761362,-6.000000
0.780296,-6.000000
0.799222,-6.000000
0.818154,-6.000000
0.837057,-6.000000
0.855924,-6.000000
0.874806,-6.000000
0.893664,-6.000000
0.912500,-6.000000
0.931319,-6.000000
0.950137,-6.000000
0.968936,-6.000000
0.987719,-6.000000
1.006501,-6.000000
1.025257,-6.000000
1.323551,-6.000000
1.341968,-6.000000
1.360468,-6.000000
1.378945,-6.000000
1.397414,-6.000000
1.415882,-6.000000
1.434321,-6.000000
1.452747,-6.000000
1.471163,-6.000000
1.489584,-6.000000
1.507959,-6.000000
1.526338,-6.000000
1.544708,-6.000000
1.563047,-6.000000
1.581371,-6.000000
1.874815,-6.000000
1.893301,-6.000000
1.911808,-6.000000
1.930371,-6.000000
1.948988,-6.000000
1.967625,-6.000000
1.986306,-6.000000
2.005048,-6.000000
2.023842,-6.000000
2.042692,-6.000000
2.061600,-6.000000
2.080652,-6.000000
2.099705,-6.000000
2.118651,-6.000000
2.137811,-6.000000
2.455872,-6.000000
2.476602,-6.000000
2.497448,-6.000000
2.518419,-6.000000
2.539450,-6.000000
2.560744,-6.000000
2.582095,-6.000000
2.603547,-6.000000
2.625105,-6.000000
2.646793,-6.000000
2.668533,-6.000000
2.690363,-6.000000
2.712291,-6.000000
2.734318,-6.000000
2.756394,-6.000000
3.114891,-6.000000
3.137354,-6.000000
3.159835,-6.000000
3.182266,-6.000000
3.204671,-6.000000
3.227089,-6.000000
3.249497,-6.000000
3.271848,-6.000000
3.294212,-6.000000
3.316563,-6.000000
3.338895,-6.000000
3.361214,-6.000000
3.383510,-6.000000
3.405795,-6.000000
3.428078,-6.000000
3.782572,-6.000000
3.804602,-6.000000
3.826618,-6.000000
3.848610,-6.000000
3.870604,-6.000000
3.892580,-6.000000
3.914538,-6.000000
3.936504,-6.000000
3.958427,-6.000000
3.980342,-6.000000
4.002256,-6.000000
4.024148,-6.000000
4.046015,-6.000000
4.067885,-6.000000
4.089743,-6.000000
4.437345,-6.000000
4.458940,-6.000000
4.480529,-6.000000
4.502122,-6.000000
4.523674,-6.000000
4.545221,-6.000000
4.566785,-6.000000
4.588283,-6.000000
4.609783,-6.000000
4.631344,-6.000000
4.652792,-6.000000
4.674213,-6.000000
4.695681,-6.000000
4.717094,-6.000000
4.738497,-6.000000
5.079249,-6.000000
5.100441,-6.000000
5.121603,-6.000000
5.142732,-6.000000
5.163850,-6.000000
5.184969,-6.000000
5.206074,-6.000000
5.227161,-6.000000
5.248238,-6.000000
5.269296,-6.000000
5.290343,-6.000000
5.311376,-6.000000
5.332389,-6.000000
5.353389,-6.000000
5.374408,-6.000000
5.708270,-6.000000
5.729007,-6.000000
5.749733,-6.000000
5.770456,-6.000000
5.791258,-6.000000
5.811859,-6.000000
5.832656,-6.000000
5.853227,-6.000000
5.873850,-6.000000
5.894473,-6.000000
5.915100,-6.000000
5.935697,-6.000000
5.956280,-6.000000
5.976862,-6.000000
5.997413,-6.000000
6.324967,-6.000000
6.345444,-6.000000
6.365972,-6.000000
6.386481,-6.000000
6.407009,-6.000000
6.427595,-6.000000
6.448186,-6.000000
6.468811,-6.000000
6.489477,-6.000000
6.510185,-6.000000
6.530934,-6.000000
6.551714,-6.000000
6.572556,-6.000000
6.593439,-6.000000
6.614366,-6.000000
6.958560,-6.000000
6.980794,-6.000000
7.003125,-6.000000
7.025555,-6.000000
7.048124,-6.000000
7.070769,-6.000000
7.093536,-6.000000
7.116661,-6.000000
7.139489,-6.000000
7.162574,-6.000000
7.185791,-6.000000
7.209147,-6.000000
7.232586,-6.000000
7.256088,-6.000000
7.279743,-6.000000
7.665155,-6.000000
7.689426,-6.000000
7.713687,-6.000000
7.738120,-6.000000
7.762218,-6.000000
7.786391,-6.000000
7.810617,-6.000000
7.834775,-6.000000
7.858946,-6.000000
7.883114,-6.000000
7.907265,-6.000000
7.931320,-6.000000
7.955510,-6.000000
7.979620,-6.000000
8.003707,-6.000000
8.387223,-6.000000
8.411066,-6.000000
8.434905,-6.000000
8.458722,-6.000000
8.482518,-6.000000
8.506316,-6.000000
8.530089,-6.000000
8.553846,-6.000000
8.577606,-6.000000
8.601330,-6.000000
8.625049,-6.000000
8.648768,-6.000000
8.672459,-6.000000
8.696140,-6.000000
8.719787,-6.000000
9.096416,-6.000000
9.119837,-6.000000
9.143227,-6.000000
9.166621,-6.000000
9.190005,-6.000000
9.213356,-6.000000
9.236694,-6.000000
9.260039,-6.000000
9.283330,-6.000000
9.306630,-6.000000
9.329930,-6.000000
9.353189,-6.000000
9.376449,-6.000000
9.399703,-6.000000
9.422932,-6.000000
9.792671,-6.000000
9.815649,-6.000000
9.838607,-6.000000
9.861577,-6.000000
9.884521,-6.000000
9.907446,-6.000000
9.930373,-6.000000
9.953266,-6.000000
9.976151,-6.000000
9.999028,-6.000000
10.021987,-6.000000
10.044902,-6.000000
10.067733,-6.000000
10.090558,-6.000000
10.113246,-6.000000
10.478215,-6.000067
10.501227,-6.000077
10.524306,-6.000088
10.547358,-6.000098
10.570473,-6.000109
10.593586,-6.000118
