LanePointX,LanePointY
-1.646000,2.000000
-1.645752,2.000000
-1.645660,2.000000
-1.645541,2.000000
-1.645398,2.000000
-1.645225,2.000000
-1.645022,2.000000
-1.644782,2.000000
-1.644506,2.000000
-1.644188,2.000000
-1.643829,2.000000
-1.643422,2.000000
-1.642968,2.000000
-1.642460,2.000000
-1.641902,2.000000
-1.641281,2.000000
-1.621365,2.000000
-1.619346,2.000000
-1.617223,2.000000
-1.614994,2.000000
-1.612669,2.000000
-1.610213,2.000000
-1.607637,2.000000
-1.604939,2.000000
-1.602116,2.000000
-1.599170,2.000000
-1.596090,2.000000
-1.592873,2.000000
-1.589531,2.000000
-1.586052,2.000000
-1.582426,2.000000
-1.503845,2.000000
-1.497750,2.000000
-1.491538,2.000000
-1.485212,2.000000
-1.478790,2.000000
-1.472271,2.000000
-1.465666,2.000000
-1.458972,2.000000
-1.452204,2.000000
-1.445361,2.000000
-1.438451,2.000000
-1.431481,2.000000
-1.424454,2.000000
-1.417324,2.000000
-1.410254,2.000000
-1.294614,2.000000
-1.287461,2.000000
-1.280305,2.000000
-1.273186,2.000000
-1.266071,2.000000
-1.258974,2.000000
-1.251885,2.000000
-1.244816,2.000000
-1.237756,2.000000
-1.230712,2.000000
-1.223686,2.000000
-1.216670,2.000000
-1.209663,2.000000
-1.202678,2.000000
-1.195713,2.000000
-1.086070,2.000000
-1.079332,2.000000
-1.072610,2.000000
-1.065917,2.000000
-1.059224,2.000000
-1.052553,2.000000
-1.045895,2.000000
-1.039244,2.000000
-1.032611,2.000000
-1.025994,2.000000
-1.019388,2.000000
-1.012797,2.000000
-1.006221,2.000000
-0.999658,2.000000
-0.993101,2.000000
-0.890263,2.000000
-0.883955,2.000000
-0.877662,2.000000
-0.871376,2.000000
-0.865114,2.000000
-0.858861,2.000000
-0.852606,2.000000
-0.846395,2.000000
-0.840189,2.000000
-0.833993,2.000000
-0.827809,2.000000
-0.821598,2.000000
-0.815499,2.000000
-0.809356,2.000000
-0.803231,2.000000
-0.706895,2.000000
-0.700899,2.000000
-0.694886,2.000000
-0.688866,2.000000
-0.682826,2.000000
-0.676748,2.000000
-0.670678,2.000000
-0.664573,2.000000
-0.658425,2.000000
-0.652258,2.000000
-0.646050,2.000000
-0.639804,2.000000
-0.633518,2.000000
-0.627193,2.000000
-0.620818,2.000000
-0.510323,2.000000
-0.502744,2.000000
-0.495067,2.000000
-0.487292,2.000000
-0.479410,2.000000
-0.471427,2.000000
-0.463335,2.000000
-0.455124,2.000000
